Last Updated,Preferred Lender,Lender,Product Type,Product Security,Product Name,Min Loan,Max Loan,Min Term,Max Term,Monthly Interest From,Monthly Interest To,Factor Rate,Fees,Commission,Min Trading Months,Min Monthly Turnover,Debt Consolidation Option?,StartUp Option?,Existing Lending Required,PG Required,Homeowner Required,Other Security,Key Underwriting Criteria,Adverse Credit,Product USP,Submission
,No,365 Finance,Merchant Cash Advance,Unsecured,,"£10,000","£500,000",,10,,,FR from 1.2,,,6,"£10,000",,,No,Yes,No,,Will lend up to 120% monthly turnover; 15% sweep rate,,Repayments tied to sales perfomance,https://365businessfinance.my.site.com/partner/login
,No,Adelpha Capital,Term Loan,Unsecured,,"£3,000","£20,000",6,36,1.90%,5.90%,,,Up to 10%,30,"£1,500",,,No,Yes,No,,Max capped at 2x monthly revenue; VAT returns tax position not required upfront but needed to complete underwriting,,Top-ups available after 3 months; early repayment permitted once minimum 6 months interest has been paid;,underwriting@adelphacapital.com
,No,Adelpha Capital,Term Loan,Unsecured,,"£20,001","£150,000",6,36,1.90%,5.90%,,,,6,"£10,001",,,No,Yes,Yes,,Max capped at 2x monthly revenue; VAT returns tax position not required upfront but needed to complete underwriting,,Top-ups available after 3 months; early repayment permitted once minimum 6 months interest has been paid;,underwriting@adelphacapital.com
,No,Adelpha Capital,Term Loan,Secured,,"£5,000","£150,000",12,72,1.50%,3.90%,,,,6,"£2,500",,,No,Yes,Yes,Director and shareholder guarantees plus equitable charge over residential property,Max capped at 2x monthly revenue; VAT returns tax position not required upfront but needed to complete underwriting,,Cheaper; longer-term option with fewer lending restrictions; top-ups available after 3 months; early repayment permitted once minimum 12 months interest has been paid;,underwriting@adelphacapital.com
,No,Aldermore,Invoice Finance,Unsecured,,"£1,000","£2,000,000",3,36,,,,,,0,£0,,,No,Case-by-case,Not stated,,"GGS Invoice Finance; borrower must be UK trading; viable and not in difficulty; subsidy limits apply; facility limit may be increased for some extraordinary events; excludes inter-company debt, aged debtors and disputed debt; pricing is case-by-case; normal commercial terms used if better",,Can support increased invoice finance availability under GGS; borrower remains 100% liable; available to existing Aldermore Invoice Finance clients and new prospective clients,
,No,Aldermore,Term Loan,Secured,,£0,£0,0,0,,,,,,0,"£62,500",,,Yes,Case-by-case,Not stated,Receivables; plant and machinery; property,"Invoice finance facility required; tailored pricing provided by proposal; suitable for MBOs, MBIs, restructuring, mergers, acquisitions and OpCo/PropCo funding",,Asset-based funding against multiple asset classes; may provide higher working capital availability than traditional lending; scalable facility; dedicated relationship and ABL structuring support; optional Bad Debt Protection,
,No,Aldermore,Term Loan,Unsecured,,"£25,001","£2,000,000",3,72,,,,,,0,£0,,,Yes,Case-by-case,Not stated,,"GGS Term Loan; must sit alongside the client’s Aldermore Invoice Finance facility; borrower must be UK trading; viable and not in difficulty; borrower remains 100% liable; subsidy limits apply; previous CBILS, BBLS, RLS or other scheme borrowing may reduce available amount; pricing is case-by-case; normal commercial terms used if better",,Term loan can sit alongside invoice finance for growth; investment or cash flow needs; supports additional funding where standard commercial terms may not be available,
13/07/2026,Yes,ASG finance,Bridging,Secured,Bridging Loan,"£300,000","£7,000,000",12,12,1.10%,1.40%,,1.0% 1st Charge; 1.4% 2nd Charge; Min costs of 6 months interest ; 3% arr fee,1.50%,0,"£100,000",Yes,Yes,No,Yes,Yes,Property; Most assest classes,Up to 65% LTV; 1st and 2nd charge; Lending against most asset classes;,Considered (commercial decision),Term can be extended; Serviced and non serviced options,Dan.Carter@asgfinance.co.uk
13/07/2026,Yes,ASG finance,Bridging,Secured,Bridging Loan -  Stepper,"£300,000","£7,000,000",6,12,0.60%,1.25%,,0.6% months 0 to 3; 0.9% months 4 to 6; 1.1% month 7 to 9;  1.25% months 10 to 12; 2.25% arr fee; 1.85% additional fee at month 7,1.50%,0,"£100,000",Yes,Yes,No,Yes,Yes,Property; Most assest classes,Up to 65% LTV; 1st and 2nd charge; Lending against most asset classes;,Considered (commercial decision),Good for terms < 6 months so additioanl fee not charged; Term can be extended; Serviced and non serviced options,Dan.Carter@asgfinance.co.uk
13/07/2026,Yes,ASG finance,Revolving Credit Facility,Secured,Revolving Credit Facility,"£300,000","£7,000,000",12,12,1.10%,1.40%,,1.0% 1st Charge; 1.4% 2nd Charge; Min costs of 6 months interest ; 3% arr fee,1.50%,0,"£100,000",Yes,Yes,No,Yes,Yes,Property; Most assest classes,Up to 65% LTV; 1st and 2nd charge; Lending against most asset classes;,Considered (commercial decision),Term can be extended; Serviced and non serviced options,Dan.Carter@asgfinance.co.uk
,No,Asset Advantage,Asset Finance,Secured,,"£15,000","£500,000",36,60,1.17%,1.33%,,£250 doc fee; £250 option to purchase fee,,0,£0,,,No,Case-by-case,No,Asset security over financed asset,"Hire Purchase; non-regulated only; Limited Companies accepted; Sole Traders and LLPs accepted for transactions over £25k; hard assets, soft assets and new start businesses considered; HP VAT payable with first repayment; no VAT deferrals; sale and HP back available from £50k where invoices are no more than 5 months old; each invoice must be at least £1k net; non-business critical assets excluded; customer must state they are not in arrears with HMRC",,Ownership can transfer to the client at the end of the agreement; fixed monthly Direct Debit repayments; early settlement available subject to terms; suitable for business equipment and machinery,proposals@assetadvantage.co.uk
,No,Asset Advantage,Asset Finance,Secured,,"£15,000","£500,000",36,60,1.17%,1.33%,,£250 doc fee; £250 option to purchase fee,,0,£0,,,No,Case-by-case,No,Asset security over leased asset,"Finance Lease; non-regulated only; Limited Companies accepted; Sole Traders and LLPs accepted for transactions over £25k; hard assets, soft assets and new start businesses considered; sale and leaseback available from £50k where invoices are no more than 5 months old; each invoice must be at least £1k net; non-business critical assets excluded; customer must state they are not in arrears with HMRC",,Long-term asset use without outright purchase; lower initial outlay; fixed monthly Direct Debit repayments; early settlement available subject to terms; suitable for equipment investment,proposals@assetadvantage.co.uk
,No,Asset Advantage,Asset Finance,Secured,,"£75,000","£500,000",36,60,1.17%,1.33%,,£250 acceptance fee;1% arr fee,,0,£0,,,No,Case-by-case,No,,"CapEx Term Loan; non-regulated only; Limited Companies accepted; Sole Traders and LLPs accepted for transactions over £75k; suitable for fit-outs, refurbishments, soft assets, intangible costs and complicated supplier structures; refinance, consolidation, standalone stock funding and short-term working capital excluded; customer must state they are not in arrears with HMRC",,Upfront funding for business assets where traditional asset finance may not work; monthly Direct Debit repayments; early settlement available subject to terms,proposals@assetadvantage.co.uk
,No,Asset Advantage,Asset Finance,Secured,,"£75,000","£500,000",36,60,1.17%,1.33%,,£250 acceptance fee;1% arr fee,,0,£0,,,No,Case-by-case,No,,"Business Acquisition Loan; non-regulated only; Limited Companies accepted; Sole Traders and LLPs accepted for transactions over £75k; suitable for buying a business, buying out a business partner or director buy-ins; refinance, consolidation, standalone stock funding and short-term working capital excluded; customer must state they are not in arrears with HMRC",,Can fund up to 100% of the deal; structured monthly Direct Debit repayments; early settlement available subject to terms; supports acquisition or partner buy-out transactions,proposals@assetadvantage.co.uk
,No,Barclays,Term Loan,Unsecured,,"£1,000","£25,000",12,120,,,,,,0,£0,,,No,Case-by-case,Not stated,,"Owners, partners and directors must be 18 or over and able to prove 12 months UK residency; Business Current Account required with Barclays UK or another provider",severely credit impaired customers not supported,Fixed monthly repayments; full repayment holiday up to 6 months may be considered at outset; no early repayment fees,
,No,Barclays,Term Loan,Unsecured,,"£25,001","£100,000",12,300,,,,,,0,£0,,,No,Case-by-case,Not stated,,"Owners, partners and directors must be 18 or over and able to prove 12 months UK residency; Business Current Account required with Barclays UK or another provider; maximum annual turnover £6,5m unless agricultural sector",severely credit impaired customers not supported,"Fixed and variable rates available; capital repayment holidays may be available; flexible business loan for growth, cash flow and equipment funding",
